[EISArtifact_vehicle3] Registering vehicle3 to entity connectionA3
[EISArtifact_vehicle4] Registering vehicle4 to entity connectionA4
[EISArtifact_vehicle1] Registering vehicle1 to entity connectionA1
[EISArtifact_vehicle2] Registering vehicle2 to entity connectionA2
[vehicle4] Got role: Truck
[vehicle4] -------------------- BEGIN OF NEW ROUND ----------------
[vehicle3] Got role: Motorcycle
[vehicle4] truck.asl
[vehicle1] Got role: Car
[vehicle2] Got role: Drone
[vehicle3] -------------------- BEGIN OF NEW ROUND ----------------
[vehicle3] motorcycle.asl
[vehicle1] -------------------- BEGIN OF NEW ROUND ----------------
[vehicle1] car.asl
[vehicle2] -------------------- BEGIN OF NEW ROUND ----------------
[vehicle2] drone.asl
[vehicle4] Doing skip for step 212
[vehicle3] Doing skip for step 212
[vehicle1] Doing skip for step 212
[vehicle2] Going for a job, items=[item(material3,2)]
[vehicle2] Doing skip for step 212
[vehicle3] Doing skip for step 213
[vehicle4] Doing skip for step 213
[vehicle1] Doing skip for step 213
[vehicle2] Doing skip for step 213
[vehicle3] Doing skip for step 214
[vehicle4] Doing skip for step 214
[vehicle1] Doing skip for step 214
[vehicle2] Doing skip for step 214
[vehicle3] Doing skip for step 215
[vehicle4] Doing skip for step 215
[vehicle1] Doing skip for step 215
[vehicle2] Doing skip for step 215
[vehicle3] Doing skip for step 216
[vehicle4] Doing skip for step 216
[vehicle1] Doing skip for step 216
[vehicle2] Doing skip for step 216
[vehicle3] Doing skip for step 217
[vehicle4] Doing skip for step 217
[vehicle1] Doing skip for step 217
[vehicle2] Doing skip for step 217
[vehicle4] Doing skip for step 218
[vehicle3] Doing skip for step 218
[vehicle1] Doing skip for step 218
[vehicle2] Doing skip for step 218
[vehicle3] Doing skip for step 219
[vehicle4] Doing skip for step 219
[vehicle1] Doing skip for step 219
[vehicle2] Doing skip for step 219
[vehicle3] Doing skip for step 220
[vehicle4] Doing skip for step 220
[vehicle1] Doing skip for step 220
[vehicle2] Doing skip for step 220
[vehicle4] Doing skip for step 221
[vehicle3] Doing skip for step 221
[vehicle1] Doing skip for step 221
[vehicle2] Doing skip for step 221
[vehicle3] Doing skip for step 222
[vehicle4] Doing skip for step 222
[vehicle1] Doing skip for step 222
[vehicle2] Doing skip for step 222
[vehicle3] Doing skip for step 223
[vehicle4] Doing skip for step 223
[vehicle1] Doing skip for step 223
[vehicle2] Doing skip for step 223
[vehicle3] Doing skip for step 224
[vehicle4] Doing skip for step 224
[vehicle1] Doing skip for step 224
[vehicle2] Doing skip for step 224
[vehicle3] Doing skip for step 225
[vehicle4] Doing skip for step 225
[vehicle1] Doing skip for step 225
[vehicle2] Doing skip for step 225
[vehicle3] Doing skip for step 226
[vehicle4] Doing skip for step 226
[vehicle1] Doing skip for step 226
[vehicle2] Doing skip for step 226
[vehicle4] Doing skip for step 227
[vehicle3] Doing skip for step 227
[vehicle1] Doing skip for step 227
[vehicle2] Doing skip for step 227
[vehicle3] Doing skip for step 242
[vehicle4] Doing skip for step 242
[vehicle1] Doing skip for step 242
[vehicle1] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle4] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle1] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle2] Doing skip for step 242
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
